PlayerName,Team,PlayerNumber,GamesPlayed,GamesStarted,StartingPercentage,TotalPoints,AvgPointsPerGame,1PMadeShots,2PMadeShots,3PMadeShots,TotalFieldGoalsMade,AvgShotsPerGame,PointsPerShot,FTAttempts,FTMakes,FTPercentage,TotalFouls,AvgFoulsPerGame,PFouls,P1Fouls,P2Fouls,P3Fouls,T1Fouls,U1Fouls,U2Fouls,U3Fouls,GDFouls
KLOMAN Felix Whitcomb,AS Soleuvre,5,8,8,100.0,244,30.5,42,47,36,125,15.62,1.95,24,15,62.5,16,2.0,4,3,7,0,1,0,1,0,0
BARNES Cobie Logan,BC Mess,8,7,7,100.0,244,34.86,40,54,32,126,18.0,1.94,11,7,63.6,6,0.86,3,1,2,0,0,0,0,0,0
EARLY JR Jeffrey Leroy,Bascharage Hedgehogs,11,8,8,100.0,224,28.0,42,65,18,125,15.62,1.79,19,10,52.6,7,0.88,3,2,2,0,0,0,0,0,0
WILLIAMS Jarvis Terrill,Sparta Bertrange,14,7,7,100.0,199,28.43,54,68,3,125,17.86,1.59,26,15,57.7,10,1.43,4,0,6,0,0,0,0,0,0
JONAITIS Robertas,Kordall Steelers,15,7,7,100.0,192,27.43,46,61,8,115,16.43,1.67,24,15,62.5,19,2.71,6,3,7,1,0,0,2,0,0
QUARRY Thomas Killian,US Heffingen,14,7,7,100.0,192,27.43,45,43,21,109,15.57,1.76,16,10,62.5,12,1.71,5,0,5,1,0,0,1,0,0
FRANKLIN Dareial Corrione,Gréngewald Hueschtert,10,7,7,100.0,191,27.29,26,42,27,95,13.57,2.01,6,5,83.3,23,3.29,10,2,10,0,0,0,0,0,0
POPE Donte Bezel,Black Star Mersch,14,6,6,100.0,182,30.33,38,57,10,105,17.5,1.73,18,10,55.6,13,2.17,3,2,8,0,0,0,0,0,0
PARKER Christian Jeffrey,AS Soleuvre,15,8,8,100.0,182,22.75,33,70,3,106,13.25,1.72,19,11,57.9,21,2.62,11,2,8,0,0,0,0,0,0
DAWKINS Uzziah Khalil,Avanti Mondorf,10,7,7,100.0,175,25.0,26,58,11,95,13.57,1.84,10,5,50.0,17,2.43,7,3,6,1,0,0,0,0,0
SLAJCHERT John Clark,Résidence Walferdange,8,7,7,100.0,174,24.86,36,48,15,99,14.14,1.76,12,6,50.0,22,3.14,5,5,11,0,0,0,1,0,0
BIVINS Antunio Xavier,Racing Luxembourg,13,7,7,100.0,174,24.86,39,57,6,102,14.57,1.71,16,9,56.2,23,3.29,11,2,8,0,1,0,1,0,0
SHERRELL Ashton Lee,Amicale Steesel,15,7,7,100.0,169,24.14,29,70,0,99,14.14,1.71,14,7,50.0,21,3.0,10,2,8,0,0,0,1,0,0
ANDERSON Eric Christopher,Black Frogs Schieren,14,8,8,100.0,169,21.12,20,58,11,89,11.12,1.9,8,4,50.0,27,3.38,9,2,14,2,0,0,0,0,0
MCCALLUM Deanthony Kendrick,BC Mess,7,7,7,100.0,161,23.0,28,52,9,89,12.71,1.81,14,9,64.3,21,3.0,15,3,3,0,0,0,0,0,0
BAILEY Brendan T,Résidence Walferdange,15,7,7,100.0,159,22.71,28,34,21,83,11.86,1.92,5,4,80.0,19,2.71,5,2,12,0,0,0,0,0,0
DOMINGOS SANCHES Miguel Angelo,Etzella Ettelbruck B,4,5,4,80.0,159,31.8,30,46,13,89,17.8,1.79,12,6,50.0,12,2.4,9,0,3,0,0,0,0,0,0
DELPH Adrian Jermaine,Etzella Ettelbruck,6,7,7,100.0,153,21.86,16,37,21,74,10.57,2.07,6,4,66.7,16,2.29,7,0,9,0,0,0,0,0,0
