GameId,GameLocation,GameDivisionDisplay,GameTeamsShort,GameFinalScore,GameWinner,GameLoser,HomeTeamName,AwayTeamName,HomeTeamLeaguePoints,AwayTeamLeaguePoints,FinalHomeScore,FinalAwayScore,Referres,DateTime,GameEvents,Total 1P Attempt Given,Team Name Short,Team Role,Total Lost Points,Total 1P Shots Attempted,Total Won Points,Result Outcome,League Points,Team Name,GD Fouls,P3 Fouls,2P Made Shots,Starting Five,Fouls Raw,1P Made Shots,T1 Fouls,3P Made Shots,Player Number,Player Name,Total Points,Total Fouls,U3 Fouls,U2 Fouls,P2 Fouls,U1 Fouls,P1 Fouls,P Fouls
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,1,,2 (P +P2),3,0,0,5,ROUAULT Vincent,5,2,0,0,1,0,0,1
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,0,,1 (P2),0,0,0,6,GASPAR Rui,0,1,0,0,1,0,0,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,2,,1 (P2),0,0,0,7,DELAPLACE Mathieu,4,1,0,0,1,0,0,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,1,,2 (P1+P2),0,0,0,8,WANG ZengKuan,2,2,0,0,1,0,1,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,5,,2 (P2+P ),0,0,0,9,PETIT Pierre Philippe Andre,10,2,0,0,1,0,0,1
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,2,,1 (P1),3,0,0,10,COGHETTO Mattia,7,1,0,0,0,0,1,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,2,,3 (P2+P +P2),0,0,0,11,RYBARCZYK Marcin,4,3,0,0,2,0,0,1
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,8,,1 (P2),2,0,0,12,MORI Guido,18,1,0,0,1,0,0,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,18,RACC,Home,72,16,59,L,1,Racing Luxembourg C,0,0,3,,3 (P +P +P ),3,0,0,14,TOZIK Dimitry,9,3,0,0,0,0,0,3
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,16,RACB,Away,59,18,72,W,2,Racing Luxembourg B,0,0,3,,1 (P2),6,0,2,4,ENGEL Xavier,18,1,0,0,1,0,0,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,16,RACB,Away,59,18,72,W,2,Racing Luxembourg B,0,0,3,,1 (P ),1,0,3,5,RIBOLDI Giorgio,16,1,0,0,0,0,0,1
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,16,RACB,Away,59,18,72,W,2,Racing Luxembourg B,0,0,1,,2 (P1+P1),0,0,0,6,FACCHETTI Matteo,2,2,0,0,0,0,2,0
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,16,RACB,Away,59,18,72,W,2,Racing Luxembourg B,0,0,1,,4 (P +P2+P +P2),0,0,1,7,AULNER Francois,5,4,0,0,2,0,0,2
1501001,Tramsschapp Luxembourg - FINAL RESULT,M-Division 1:,Racing Luxembourg C - Racing Luxembourg B,59 : 72,Racing Luxembourg B,Racing Luxembourg C,Racing Luxembourg C,Racing Luxembourg B,1,2,59,72,,2025-09-20 20:30:00,,16,RACB,Away,59,18,72,W,2,Racing Luxembourg B,0,0,0,,1 (P2),0,0,1,8,HILGER Sam,3,1,0,0,1,0,0,0
